
D:\code\AntiGravity\pdftoolskit-main\components\tools\ChatTool.tsx
  230:73  error  `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`  react/no-unescaped-entities
  25049:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25051:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25052:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25053:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25054:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25054:29   error  'i' is already defined                                                     no-redeclare
  25055:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25056:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25057:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25058:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25059:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25059:30   error  'i' is already defined                                                     no-redeclare
  25060:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25060:30   error  'i' is already defined                                                     no-redeclare
  25060:55   error  'ti' is already defined                                                    no-redeclare
  25061:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25062:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25063:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25063:30   error  'i' is already defined                                                     no-redeclare
  25063:64   error  'ti' is already defined                                                    no-redeclare
  25064:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25065:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25065:30   error  'i' is already defined                                                     no-redeclare
  25065:55   error  'qi' is already defined                                                    no-redeclare
  25065:64   error  'ti' is already defined                                                    no-redeclare
  25066:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25067:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25068:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25069:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25070:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25071:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25072:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25073:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25073:16   error  'i' is already defined                                                     no-redeclare
  25073:37   error  'qi' is already defined                                                    no-redeclare
  25074:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25075:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25075:28   error  'y' is already defined                                                     no-redeclare
  25075:50   error  's0' is already defined                                                    no-redeclare
  25075:62   error  't0' is already defined                                                    no-redeclare
  25076:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25076:16   error  'i' is already defined                                                     no-redeclare
  25076:37   error  'qi' is already defined                                                    no-redeclare
  25076:51   error  'j' is already defined                                                     no-redeclare
  25076:93   error  'cj' is already defined                                                    no-redeclare
  25077:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25078:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25078:28   error  'y' is already defined                                                     no-redeclare
  25078:50   error  's0' is already defined                                                    no-redeclare
  25078:62   error  't0' is already defined                                                    no-redeclare
  25079:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25079:16   error  'i' is already defined                                                     no-redeclare
  25079:37   error  'qi' is already defined                                                    no-redeclare
  25079:51   error  'j' is already defined                                                     no-redeclare
  25079:93   error  'cj' is already defined                                                    no-redeclare
  25080:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25081:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25081:28   error  'i' is already defined                                                     no-redeclare
  25081:54   error  'qi' is already defined                                                    no-redeclare
  25081:63   error  'j' is already defined                                                     no-redeclare
  25081:96   error  'cj' is already defined                                                    no-redeclare
  25082:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25083:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25084:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25084:30   error  'i' is already defined                                                     no-redeclare
  25084:55   error  'qi' is already defined                                                    no-redeclare
  25085:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25085:30   error  'i' is already defined                                                     no-redeclare
  25085:55   error  'qi' is already defined                                                    no-redeclare
  25085:64   error  'di' is already defined                                                    no-redeclare
  25085:73   error  'gr' is already defined                                                    no-redeclare
  25086:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25087:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25088:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25088:11   error  'tr' is already defined                                                    no-redeclare
  25089:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25089:15   error  'y' is already defined                                                     no-redeclare
  25090:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25091:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25091:57   error  'gr' is already defined                                                    no-redeclare
  25092:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25092:35   error  'x' is already defined                                                     no-redeclare
  25092:57   error  'gr' is already defined                                                    no-redeclare
  25092:108  error  'al' is already defined                                                    no-redeclare
  25093:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25093:35   error  'x' is already defined                                                     no-redeclare
  25093:57   error  'gr' is already defined                                                    no-redeclare
  25093:108  error  'al' is already defined                                                    no-redeclare
  25094:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25094:35   error  'x' is already defined                                                     no-redeclare
  25094:57   error  'gr' is already defined                                                    no-redeclare
  25094:78   error  'al' is already defined                                                    no-redeclare
  25095:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25095:35   error  'x' is already defined                                                     no-redeclare
  25095:57   error  'gr' is already defined                                                    no-redeclare
  25095:78   error  'al' is already defined                                                    no-redeclare
  25096:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25097:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25098:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25099:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25106:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25107:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25108:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25109:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25110:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25111:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25112:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25114:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25115:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25116:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25117:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
